thesis,target,top_k,bottom_k,market_neutral,rebalance_every,sizing_mode,paper_sharpe,paper_ann,paper_dd,retail_sharpe,retail_ann,retail_dd,retail_calmar,n_orders,end_equity,elapsed_s
A030_xs4_k10_long_reb8,y_xsec_top_4,10,0,False,8,equal,1.6539633903821245,0.4245045264837251,-0.2071278136761694,1.3500760434487626,0.34715849738050697,-0.21787383706268026,1.5933923139226336,4485,171985.36586603557,4.35771150002256
A033_xs4_k15_long_reb8,y_xsec_top_4,15,0,False,8,equal,1.5993512409242665,0.387683643914253,-0.20633889762256707,1.3434000984512433,0.32614925719636173,-0.21489006566864244,1.5177493486333586,5807,166878.08788902074,4.300089374999516
A027_xs4_k5_long_reb8,y_xsec_top_4,5,0,False,8,equal,1.6188908795318029,0.3550837304173681,-0.172128908638292,1.2856169949586336,0.2824489328527225,-0.1853992135047221,1.5234634900192203,2536,156209.20419753643,4.4746124999946915
A048_xs8_k20_long_reb16,y_xsec_top_8,20,0,False,16,equal,1.3964798023515181,0.32118551584857247,-0.27677609705717954,1.275013533173789,0.29331165337386106,-0.2789480002122051,1.051492224897576,3816,158470.68126729352,4.224702791951131
A036_xs4_k20_long_reb8,y_xsec_top_4,20,0,False,8,equal,1.4605333995766252,0.33300294517511525,-0.22046441441372722,1.2421364290190429,0.28356107072936365,-0.2270526361541676,1.248878125937402,6716,155947.86911821456,4.276751625002362
A047_xs8_k20_long_reb8,y_xsec_top_8,20,0,False,8,equal,1.3075246148120163,0.30093227371399855,-0.2538363120358329,1.1248398467130503,0.25912486991921785,-0.2574364412195502,1.0065586235253605,6105,149364.22603883542,4.3657012499752454
A042_xs8_k10_long_reb16,y_xsec_top_8,10,0,False,16,equal,1.2919706499559553,0.3350985952413567,-0.29142032406324847,1.1239033352299799,0.2916877027810574,-0.29437513326829245,0.9908707285924665,2460,156052.89674283064,4.209220707998611
A044_xs8_k15_long_reb8,y_xsec_top_8,15,0,False,8,equal,1.3463355805875734,0.3239404683942417,-0.24809314613504685,1.1218636878437505,0.2702462285710397,-0.2526158730263838,1.0697911628966188,5426,151612.6149960592,4.390760375012178
A041_xs8_k10_long_reb8,y_xsec_top_8,10,0,False,8,equal,1.345351454067643,0.3482360162133066,-0.26679498129543533,1.0738205068430582,0.2783900855765654,-0.2722020502194705,1.022733243016008,4221,152555.1928032034,4.230941249988973
A039_xs8_k5_long_reb16,y_xsec_top_8,5,0,False,16,equal,1.2342802347415542,0.2751110672961731,-0.19150070271699038,1.0596848940687715,0.23635287951850198,-0.19463528400823116,1.2143372704638002,1359,144025.8872714874,4.336744166968856
A045_xs8_k15_long_reb16,y_xsec_top_8,15,0,False,16,equal,1.1678531297945132,0.28085842598563343,-0.2945661926706681,1.0218848099375195,0.24589339189875511,-0.2968949541315077,0.8282168102790937,3263,145371.73281935166,4.2104174589621834
